,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
29141,-37.407,149.212,321.9,1.1,1.1,2020-01-13,1500,Aqua,MODIS,100,6.0NRT,291.3,22.8,N
31322,-33.161,115.728,335.0,1.0,1.0,2020-01-20,1505,Terra,MODIS,100,6.0NRT,294.4,36.3,N
1671,-37.663,148.618,351.3,1.0,1.0,2020-01-01,1255,Terra,MODIS,100,6.0NRT,292.3,65.5,N
30566,-18.064,141.884,330.6,2.3,1.5,2020-01-15,350,Aqua,MODIS,76,6.0NRT,300.1,42.6,D
17455,-31.425,151.763,342.7,1.0,1.0,2020-01-04,1505,Aqua,MODIS,100,6.0NRT,300.6,43.6,N
33476,-35.87,149.738,330.0,1.0,1.0,2020-01-29,355,Aqua,MODIS,59,6.0NRT,299.9,19.5,D
2588,-35.913,148.323,332.5,1.0,1.0,2020-01-01,1255,Terra,MODIS,91,6.0NRT,291.5,30.2,N
15239,-35.315,150.404,355.8,1.1,1.0,2020-01-04,400,Aqua,MODIS,97,6.0NRT,317.5,56.7,D
20450,-32.286,123.241,312.9,1.7,1.3,2020-01-05,1410,Terra,MODIS,86,6.0NRT,292.9,25.6,N
8960,-35.881,136.647,344.2,1.1,1.0,2020-01-03,500,Aqua,MODIS,62,6.0NRT,315.8,31.2,D
8393,-35.894,136.614,338.0,1.2,1.1,2020-01-03,45,Terra,MODIS,83,6.0NRT,301.6,34.3,D
11637,-35.947,148.25,332.8,1.6,1.3,2020-01-03,2345,Terra,MODIS,70,6.0NRT,305.3,46.0,D
